SAMPLE_ID	mutations	cna
TARGET-20-PARCEC-03	NA	NA
TARGET-20-PARCEV-04	NA	NA
TARGET-20-PARCEV-09	NA	NA
TARGET-20-PARCUK-09	WXS/WGS	WXS/WGS
TARGET-20-PARCVP-09	NA	WXS/WGS
TARGET-20-PARCVS-03	NA	NA
TARGET-20-PARCVS-04	NA	NA
TARGET-20-PARCVS-09	NA	WXS/WGS
TARGET-20-PARCZL-04	NA	NA
TARGET-20-PARCZL-09	WXS/WGS	WXS/WGS
TARGET-20-PARDDY-04	NA	NA
TARGET-20-PARDDY-09	WXS/WGS	WXS/WGS
TARGET-20-PARDEV-03	NA	NA
TARGET-20-PARDMG-09	WXS/WGS	WXS/WGS
TARGET-20-PARDZW-09	NA	WXS/WGS
TARGET-20-PAREFM-09	NA	WXS/WGS
TARGET-20-PARENB-09	WXS/WGS	WXS/WGS
TARGET-20-PARERV-09	NA	WXS/WGS
TARGET-20-PARFAL-04	NA	NA
TARGET-20-PARFAL-09	WXS/WGS	WXS/WGS
TARGET-20-PARFGK-09	NA	WXS/WGS
TARGET-20-PARFIW-03	NA	NA
TARGET-20-PARFRN-09	NA	WXS/WGS
TARGET-20-PARFXF-09	NA	NA
TARGET-20-PARGDB-03	NA	NA
TARGET-20-PARGDB-04	NA	NA
TARGET-20-PARGTL-09	NA	WXS/WGS
TARGET-20-PARGTR-03	NA	NA
TARGET-20-PARGVC-03	WXS/WGS	WXS/WGS
TARGET-20-PARGXP-03	NA	NA
TARGET-20-PARHBA-03	NA	WXS/WGS
TARGET-20-PARHJV-09	NA	WXS/WGS
TARGET-20-PARHVI-03	NA	WXS/WGS
TARGET-20-PARHVK-04	NA	NA
TARGET-20-PARHVK-09	WXS/WGS	WXS/WGS
TARGET-20-PARIEG-09	NA	WXS/WGS
TARGET-20-PARIHK-03	NA	WXS/WGS
TARGET-20-PARIHK-04	NA	NA
TARGET-20-PARIHK-09	WXS/WGS	NA
TARGET-20-PARIMT-09	WXS/WGS	NA
TARGET-20-PARINM-09	NA	WXS/WGS
TARGET-20-PARIZR-09	WXS/WGS	WXS/WGS
TARGET-20-PARJCR-04	NA	NA
TARGET-20-PARJCR-09	WXS/WGS	WXS/WGS
TARGET-20-PARJVI-03	NA	WXS/WGS
TARGET-20-PARJYP-03	WXS/WGS	NA
TARGET-20-PARJYP-09	NA	WXS/WGS
TARGET-20-PARKCX-09	WXS/WGS	WXS/WGS
TARGET-20-PARKFB-09	NA	WXS/WGS
TARGET-20-PARKSH-03	NA	WXS/WGS
TARGET-20-PARLFE-03	NA	NA
TARGET-20-PARLSW-09	NA	WXS/WGS
TARGET-20-PARLVL-04	NA	NA
TARGET-20-PARLVL-09	WXS/WGS	NA
TARGET-20-PARMGX-09	NA	WXS/WGS
TARGET-20-PARMIX-09	NA	WXS/WGS
TARGET-20-PARMME-09	NA	WXS/WGS
TARGET-20-PARMMN-09	NA	WXS/WGS
TARGET-20-PARMZC-09	NA	WXS/WGS
TARGET-20-PARMZF-09	WXS/WGS	WXS/WGS
TARGET-20-PARNIA-09	NA	NA
TARGET-20-PARNNT-09	NA	NA
TARGET-20-PARNZW-03	NA	NA
TARGET-20-PARPBF-09	NA	WXS/WGS
TARGET-20-PARPDS-09	WXS/WGS	NA
TARGET-20-PARPPY-09	NA	NA
TARGET-20-PARPVZ-09	NA	WXS/WGS
TARGET-20-PARPWL-09	WXS/WGS	WXS/WGS
TARGET-20-PARSAN-09	WXS/WGS	NA
TARGET-20-PARSHM-03	WXS/WGS	NA
TARGET-20-PARTAL-04	NA	NA
TARGET-20-PARTAL-09	WXS/WGS	NA
TARGET-20-PARTST-09	NA	WXS/WGS
TARGET-20-PARTXH-09	NA	WXS/WGS
TARGET-20-PARTYK-09	NA	WXS/WGS
TARGET-20-PARTYV-09	NA	NA
TARGET-20-PARUBT-09	WXS/WGS	NA
TARGET-20-PARUBT-40	NA	NA
TARGET-20-PARUCB-03	NA	NA
TARGET-20-PARUCB-04	NA	NA
TARGET-20-PARUCB-09	NA	WXS/WGS
TARGET-20-PARUDL-09	WXS/WGS	NA
TARGET-20-PARUNX-04	NA	NA
TARGET-20-PARUNX-09	WXS/WGS	WXS/WGS
TARGET-20-PARURW-09	NA	WXS/WGS
TARGET-20-PARUTH-04	NA	NA
TARGET-20-PARUTH-09	WXS/WGS	WXS/WGS
TARGET-20-PARUUB-09	WXS/WGS	WXS/WGS
TARGET-20-PARUWX-09	WXS/WGS	WXS/WGS
TARGET-20-PARVAI-09	WXS/WGS	WXS/WGS
TARGET-20-PARVUA-03	WXS/WGS	NA
TARGET-20-PARWAS-03	NA	NA
TARGET-20-PARWAS-09	NA	WXS/WGS
TARGET-20-PARWDZ-09	WXS/WGS	WXS/WGS
TARGET-20-PARWXU-04	NA	NA
TARGET-20-PARWXU-09	WXS/WGS	WXS/WGS
TARGET-20-PARXBT-09	NA	WXS/WGS
TARGET-20-PARXCG-09	NA	WXS/WGS
TARGET-20-PARXEC-09	NA	NA
TARGET-20-PARXMP-09	WXS/WGS	NA
TARGET-20-PARXNG-09	WXS/WGS	WXS/WGS
TARGET-20-PARXVI-09	NA	WXS/WGS
TARGET-20-PARYCG-03	NA	WXS/WGS
TARGET-20-PARYEB-09	NA	WXS/WGS
TARGET-20-PARYFN-03	WXS/WGS	NA
TARGET-20-PARYFN-04	NA	NA
TARGET-20-PARYFN-09	NA	WXS/WGS
TARGET-20-PARYGA-09	WXS/WGS	WXS/WGS
TARGET-20-PARYVW-04	NA	NA
TARGET-20-PARYVW-09	WXS/WGS	NA
TARGET-20-PARYXV-09	NA	WXS/WGS
TARGET-20-PARZMZ-09	NA	WXS/WGS
TARGET-20-PARZUU-09	WXS/WGS	WXS/WGS
TARGET-20-PARZWH-09	WXS/WGS	WXS/WGS
TARGET-20-PARZYL-09	NA	WXS/WGS
TARGET-20-PASADG-04	NA	NA
TARGET-20-PASADG-09	NA	WXS/WGS
TARGET-20-PASAFM-09	NA	WXS/WGS
TARGET-20-PASARK-09	NA	WXS/WGS
TARGET-20-PASAUT-03	NA	NA
TARGET-20-PASBBE-04	NA	NA
TARGET-20-PASBBE-09	NA	WXS/WGS
TARGET-20-PASBGE-09	NA	WXS/WGS
TARGET-20-PASBHI-09	WXS/WGS	WXS/WGS
TARGET-20-PASBPK-09	WXS/WGS	WXS/WGS
TARGET-20-PASBPW-09	NA	WXS/WGS
TARGET-20-PASBSB-03	NA	NA
TARGET-20-PASCCS-09	WXS/WGS	WXS/WGS
TARGET-20-PASCFW-09	WXS/WGS	NA
TARGET-20-PASCGC-03	NA	WXS/WGS
TARGET-20-PASCGR-03	WXS/WGS	NA
TARGET-20-PASCGR-04	NA	NA
TARGET-20-PASCIG-09	NA	WXS/WGS
TARGET-20-PASCRZ-03	NA	NA
TARGET-20-PASCRZ-04	NA	NA
TARGET-20-PASDFK-09	NA	WXS/WGS
TARGET-20-PASDGX-09	NA	WXS/WGS
TARGET-20-PASDJY-09	NA	WXS/WGS
TARGET-20-PASDUD-09	NA	WXS/WGS
TARGET-20-PASDVA-09	NA	WXS/WGS
TARGET-20-PASECW-09	NA	WXS/WGS
TARGET-20-PASEFD-04	NA	NA
TARGET-20-PASEFD-09	NA	WXS/WGS
TARGET-20-PASEGC-09	NA	WXS/WGS
TARGET-20-PASELF-09	NA	WXS/WGS
TARGET-20-PASENE-09	NA	WXS/WGS
TARGET-20-PASEYM-09	NA	WXS/WGS
