SAMPLE_ID	mutations	cna
TARGET-10-PARARJ-09	WXS/WGS	WXS/WGS
TARGET-10-PARBDN-03	NA	NA
TARGET-10-PARBDN-04	NA	NA
TARGET-10-PARBRK-03	WXS/WGS	NA
TARGET-10-PARBRK-04	NA	WXS/WGS
TARGET-10-PARBRK-09	WXS/WGS	WXS/WGS
TARGET-10-PARBVI-04	NA	WXS/WGS
TARGET-10-PARBVI-09	WXS/WGS	WXS/WGS
TARGET-10-PARCBK-04	NA	NA
TARGET-10-PARCBK-09	NA	NA
TARGET-10-PARCHB-03	WXS/WGS	NA
TARGET-10-PARCHB-09	NA	WXS/WGS
TARGET-10-PARDLR-09	NA	NA
TARGET-10-PARDNF-09	NA	NA
TARGET-10-PARDWE-03	WXS/WGS	NA
TARGET-10-PARDWE-04	NA	WXS/WGS
TARGET-10-PARDWE-40	NA	NA
TARGET-10-PARFLV-04	NA	WXS/WGS
TARGET-10-PARFLV-09	WXS/WGS	WXS/WGS
TARGET-10-PARFTR-03	WXS/WGS	NA
TARGET-10-PARFTR-04	NA	WXS/WGS
TARGET-10-PARFTR-09	WXS/WGS	WXS/WGS
TARGET-10-PARFVZ-04	NA	NA
TARGET-10-PARFVZ-09	NA	NA
TARGET-10-PARGFV-03	WXS/WGS	NA
TARGET-10-PARGFV-04	NA	WXS/WGS
TARGET-10-PARGFV-09	NA	WXS/WGS
TARGET-10-PARGHW-03	WXS/WGS	NA
TARGET-10-PARGHW-04	NA	WXS/WGS
TARGET-10-PARGHW-09	WXS/WGS	WXS/WGS
TARGET-10-PARGML-03	WXS/WGS	NA
TARGET-10-PARGML-04	NA	WXS/WGS
TARGET-10-PARGML-09	NA	WXS/WGS
TARGET-10-PARGVZ-03	WXS/WGS	NA
TARGET-10-PARGVZ-04	NA	WXS/WGS
TARGET-10-PARGVZ-09	NA	WXS/WGS
TARGET-10-PARHUM-09	NA	WXS/WGS
TARGET-10-PARIAD-03	WXS/WGS	NA
TARGET-10-PARIAD-04	NA	WXS/WGS
TARGET-10-PARIAD-09	NA	WXS/WGS
TARGET-10-PARJSR-04	NA	WXS/WGS
TARGET-10-PARJSR-09	WXS/WGS	WXS/WGS
TARGET-10-PARJZZ-03	WXS/WGS	NA
TARGET-10-PARJZZ-04	NA	WXS/WGS
TARGET-10-PARJZZ-09	WXS/WGS	WXS/WGS
TARGET-10-PARKNJ-09	NA	NA
TARGET-10-PARLAF-04	NA	WXS/WGS
TARGET-10-PARLAF-09	WXS/WGS	WXS/WGS
TARGET-10-PARLEK-03	WXS/WGS	NA
TARGET-10-PARLEK-09	NA	WXS/WGS
TARGET-10-PARLZG-03	NA	NA
TARGET-10-PARLZG-04	NA	WXS/WGS
TARGET-10-PARLZG-09	NA	WXS/WGS
TARGET-10-PARMSP-04	NA	WXS/WGS
TARGET-10-PARMSP-09	WXS/WGS	WXS/WGS
TARGET-10-PARMXF-03	NA	NA
TARGET-10-PARMXF-04	NA	WXS/WGS
TARGET-10-PARMXF-09	WXS/WGS	WXS/WGS
TARGET-10-PARMXF-40	NA	NA
TARGET-10-PARNDR-09	NA	NA
TARGET-10-PARNMF-03	WXS/WGS	NA
TARGET-10-PARNMF-04	NA	WXS/WGS
TARGET-10-PARNMF-09	NA	WXS/WGS
TARGET-10-PARNMF-40	NA	NA
TARGET-10-PARNSH-03	WXS/WGS	NA
TARGET-10-PARNSH-04	NA	WXS/WGS
TARGET-10-PARNSH-09	NA	WXS/WGS
TARGET-10-PARNTW-09	NA	NA
TARGET-10-PARPCA-09	NA	WXS/WGS
TARGET-10-PARPNM-03	WXS/WGS	NA
TARGET-10-PARPNM-04	NA	WXS/WGS
TARGET-10-PARPNM-09	WXS/WGS	WXS/WGS
TARGET-10-PARPRD-04	NA	NA
TARGET-10-PARPRW-03	WXS/WGS	NA
TARGET-10-PARPRW-04	NA	WXS/WGS
TARGET-10-PARPRW-09	WXS/WGS	WXS/WGS
TARGET-10-PARPVU-04	NA	NA
TARGET-10-PARPVU-09	NA	NA
TARGET-10-PARPYS-09	NA	NA
TARGET-10-PARPZJ-03	WXS/WGS	NA
TARGET-10-PARPZJ-04	NA	WXS/WGS
TARGET-10-PARPZJ-09	NA	WXS/WGS
TARGET-10-PARRKW-04	NA	NA
TARGET-10-PARRKW-09	NA	NA
TARGET-10-PARSGC-03	WXS/WGS	NA
TARGET-10-PARSRH-04	NA	NA
TARGET-10-PARSZH-04	NA	WXS/WGS
TARGET-10-PARSZH-09	WXS/WGS	WXS/WGS
TARGET-10-PARTJL-04	NA	NA
TARGET-10-PARTJL-09	NA	WXS/WGS
TARGET-10-PARTKL-04	NA	WXS/WGS
TARGET-10-PARTKL-09	WXS/WGS	WXS/WGS
TARGET-10-PARTRW-04	NA	WXS/WGS
TARGET-10-PARTRW-09	NA	WXS/WGS
TARGET-10-PARTXF-09	NA	NA
TARGET-10-PARTYT-04	NA	WXS/WGS
TARGET-10-PARTYT-09	NA	WXS/WGS
TARGET-10-PARTYT-40	NA	NA
TARGET-10-PARUBK-03	NA	NA
TARGET-10-PARUBK-09	NA	WXS/WGS
TARGET-10-PARUGP-09	WXS/WGS	WXS/WGS
TARGET-10-PARUIW-03	NA	NA
TARGET-10-PARVHA-03	NA	NA
TARGET-10-PARVWD-09	WXS/WGS	WXS/WGS
TARGET-10-PARWVN-03	NA	NA
TARGET-10-PARWVN-04	NA	NA
TARGET-10-PARWVN-09	NA	WXS/WGS
TARGET-10-PARXMC-04	NA	WXS/WGS
TARGET-10-PARXMC-09	WXS/WGS	WXS/WGS
TARGET-10-PASCIU-03	WXS/WGS	NA
TARGET-10-PASDYK-03	NA	NA
TARGET-10-PASDYK-09	WXS/WGS	WXS/WGS
TARGET-10-PASEVJ-04	NA	WXS/WGS
TARGET-10-PASEVJ-09	WXS/WGS	WXS/WGS
TARGET-10-PASEVJ-40	NA	NA
TARGET-10-PASFPU-09	NA	NA
TARGET-10-PASFXA-03	WXS/WGS	NA
TARGET-10-PASFXA-04	NA	NA
TARGET-10-PASFXA-09	NA	WXS/WGS
TARGET-10-PASHUI-04	NA	WXS/WGS
TARGET-10-PASHUI-09	WXS/WGS	WXS/WGS
TARGET-10-PASKAY-03	WXS/WGS	NA
TARGET-10-PASKAY-04	NA	WXS/WGS
TARGET-10-PASKAY-09	NA	WXS/WGS
TARGET-10-PASKHT-03	WXS/WGS	NA
TARGET-10-PASKHT-04	NA	NA
TARGET-10-PASLZM-03	WXS/WGS	NA
TARGET-10-PASLZM-04	NA	WXS/WGS
TARGET-10-PASLZM-09	NA	WXS/WGS
TARGET-10-PASLZM-40	NA	NA
TARGET-10-PASMVF-04	NA	WXS/WGS
TARGET-10-PASMVF-09	NA	WXS/WGS
TARGET-10-PASRXC-09	NA	NA
TARGET-10-PASSUP-03	NA	NA
TARGET-10-PASSXJ-03	NA	NA
TARGET-10-PASSXJ-04	NA	WXS/WGS
TARGET-10-PASSXJ-09	NA	WXS/WGS
TARGET-10-PASUBW-04	NA	WXS/WGS
TARGET-10-PASUBW-09	WXS/WGS	WXS/WGS
TARGET-10-PASVUW-03	NA	NA
TARGET-10-PASVUW-04	NA	NA
TARGET-10-PASYGM-03	WXS/WGS	NA
TARGET-10-PASYRH-03	NA	NA
TARGET-10-PASYRH-04	NA	NA
TARGET-10-PATCTI-04	NA	WXS/WGS
TARGET-10-PATCTI-09	NA	WXS/WGS
TARGET-10-PATEEN-03	NA	NA
TARGET-10-PATISC-04	NA	NA
TARGET-10-PATISC-09	NA	NA
TARGET-10-PATSAH-04	NA	NA
TARGET-10-PATSAH-09	NA	NA
TARGET-10-PATTEE-03	WXS/WGS	NA
TARGET-10-CAAABC-60.10	NA	NA
TARGET-10-CAAABC-60.12	NA	NA
TARGET-10-CAAABC-60.16	NA	NA
TARGET-10-CAAABC-60.18	NA	NA
TARGET-10-CAAABC-60.1	NA	NA
TARGET-10-CAAABC-60.2	NA	NA
TARGET-10-CAAABC-60.3	NA	NA
TARGET-10-CAAABC-60.4	NA	NA
TARGET-10-CAAABC-60.5	NA	NA
TARGET-10-CAAABC-60.6	NA	NA
TARGET-10-CAAABC-60.7	NA	NA
TARGET-10-CAAABD-60.1	NA	NA
TARGET-10-CAAABD-60.2	NA	NA
TARGET-10-CAAABD-60.3	NA	NA
TARGET-10-CAAABD-60.4	NA	NA
TARGET-10-CAAABD-60.6	NA	NA
TARGET-10-CAAABF-60.11	NA	NA
TARGET-10-CAAABF-60.13	NA	NA
TARGET-10-CAAABF-60.15	NA	NA
TARGET-10-CAAABF-60.16	NA	NA
TARGET-10-CAAABF-60.5	NA	NA
TARGET-10-CAAABF-60.9	NA	NA
TARGET-10-CAAABF-60.18	NA	NA
TARGET-10-CAAABF-60.19	NA	NA
TARGET-10-CAAABF-60.1	NA	NA
TARGET-10-CAAABF-60.3	NA	NA
TARGET-10-PAKHZT-60.11	NA	NA
TARGET-10-PAKHZT-60.13	NA	NA
TARGET-10-PAKHZT-60.15	NA	NA
TARGET-10-PAKHZT-60.16	NA	NA
TARGET-10-PAKHZT-60.1	NA	NA
TARGET-10-PAKHZT-60.2	NA	NA
TARGET-10-PAKHZT-60.3	NA	NA
TARGET-10-PAKHZT-60.4	NA	NA
TARGET-10-PAKHZT-60.5	NA	NA
TARGET-10-PAKHZT-60.7	NA	NA
TARGET-10-PAKHZT-60.9	NA	NA
TARGET-10-PAKKCA-60.1	NA	NA
TARGET-10-PAKKCA-60.2	NA	NA
TARGET-10-PAKKCA-60.3	NA	NA
TARGET-10-PAKKXB-60.1	NA	NA
TARGET-10-PAKKXB-60.2	NA	NA
TARGET-10-PAKMVD-60.1	NA	NA
TARGET-10-PAKMVD-60.2	NA	NA
TARGET-10-PAKMVD-60.3	NA	NA
TARGET-10-PAKMVD-60.4	NA	NA
TARGET-10-PAKMVD-60.5	NA	NA
TARGET-10-PAKMVD-60.6	NA	NA
TARGET-10-PAKMZM-60.1	NA	NA
TARGET-10-PAKMZM-60.2	NA	NA
TARGET-10-PAKMZM-60.3	NA	NA
TARGET-10-PAKRSL-60.11	NA	NA
TARGET-10-PAKRSL-60.13	NA	NA
TARGET-10-PAKRSL-60.14	NA	NA
TARGET-10-PAKRSL-60.15	NA	NA
TARGET-10-PAKRSL-60.16	NA	NA
TARGET-10-PAKRSL-60.17	NA	NA
TARGET-10-PAKRSL-60.18	NA	NA
TARGET-10-PAKRSL-60.19	NA	NA
TARGET-10-PAKRSL-60.1	NA	NA
TARGET-10-PAKRSL-60.2	NA	NA
TARGET-10-PAKRSL-60.3	NA	NA
TARGET-10-PAKRSL-60.4	NA	NA
TARGET-10-PAKRSL-60.5	NA	NA
TARGET-10-PAKRSL-60.6	NA	NA
TARGET-10-PAKRSL-60.7	NA	NA
TARGET-10-PAKRSL-60.9	NA	NA
TARGET-10-PAKSWW-60.10	NA	NA
TARGET-10-PAKSWW-60.12	NA	NA
TARGET-10-PAKSWW-60.14	NA	NA
TARGET-10-PAKSWW-60.15	NA	NA
TARGET-10-PAKSWW-60.16	NA	NA
TARGET-10-PAKSWW-60.17	NA	NA
TARGET-10-PAKSWW-60.18	NA	NA
TARGET-10-PAKSWW-60.19	NA	NA
TARGET-10-PAKSWW-60.1	NA	NA
TARGET-10-PAKSWW-60.20	NA	NA
TARGET-10-PAKSWW-60.2	NA	NA
TARGET-10-PAKSWW-60.3	NA	NA
TARGET-10-PAKSWW-60.4	NA	NA
TARGET-10-PAKSWW-60.5	NA	NA
TARGET-10-PAKSWW-60.7	NA	NA
TARGET-10-PAKSWW-60	NA	NA
TARGET-10-PAKTAL-60.1	NA	NA
TARGET-10-PAKVKK-60.1	NA	NA
TARGET-10-PAKVKK-60.2	NA	NA
TARGET-10-PAKVKK-60.3	NA	NA
TARGET-10-PAKVKK-60.4	NA	NA
TARGET-10-PAKVKK-60.5	NA	NA
TARGET-10-PAKVKK-60.6	NA	NA
TARGET-10-PAKYEP-60.1	NA	NA
TARGET-10-PAKYEP-60.2	NA	NA
TARGET-10-PAKYEP-60.3	NA	NA
TARGET-10-PAKYEP-60.4	NA	NA
TARGET-10-PAKYEP-60.5	NA	NA
TARGET-10-PAKYEP-60.6	NA	NA
TARGET-10-PAKYEP-60.7	NA	NA
TARGET-10-PALJCF-60.1	NA	NA
TARGET-10-PALJCF-60.2	NA	NA
TARGET-10-PALJCF-60.3	NA	NA
TARGET-10-PALJCF-60.4	NA	NA
TARGET-10-PALJCF-60.5	NA	NA
TARGET-10-PALJDL-60.10	NA	NA
TARGET-10-PALJDL-60.11	NA	NA
TARGET-10-PALJDL-60.12	NA	NA
TARGET-10-PALJDL-60.1	NA	NA
TARGET-10-PALJDL-60.2	NA	NA
TARGET-10-PALJDL-60.3	NA	NA
TARGET-10-PALJDL-60.4	NA	NA
TARGET-10-PALJDL-60.6	NA	NA
TARGET-10-PALJDL-60.7	NA	NA
TARGET-10-PALJDL-60.8	NA	NA
TARGET-10-PALJDL-60.9	NA	NA
TARGET-10-PALKTY-60.1	NA	NA
TARGET-10-PALKTY-60.2	NA	NA
TARGET-10-PALKTY-60.3	NA	NA
TARGET-10-PALKTY-60.4	NA	NA
TARGET-10-PALLSD-60.10	NA	NA
TARGET-10-PALLSD-60.12	NA	NA
TARGET-10-PALLSD-60.13	NA	NA
TARGET-10-PALLSD-60.15	NA	NA
TARGET-10-PALLSD-60.17	NA	NA
TARGET-10-PALLSD-60.18	NA	NA
TARGET-10-PALLSD-60.1	NA	NA
TARGET-10-PALLSD-60.2	NA	NA
TARGET-10-PALLSD-60.3	NA	NA
TARGET-10-PALLSD-60.4	NA	NA
TARGET-10-PALLSD-60.5	NA	NA
TARGET-10-PALLSD-60.8	NA	NA
TARGET-10-PALNTB-60.10	NA	NA
TARGET-10-PALNTB-60.11	NA	NA
TARGET-10-PALNTB-60.12	NA	NA
TARGET-10-PALNTB-60.1	NA	NA
TARGET-10-PALNTB-60.2	NA	NA
TARGET-10-PALNTB-60.3	NA	NA
TARGET-10-PALNTB-60.4	NA	NA
TARGET-10-PALNTB-60.5	NA	NA
TARGET-10-PALNTB-60.6	NA	NA
TARGET-10-PALNTB-60.7	NA	NA
TARGET-10-PALNTB-60.8	NA	NA
TARGET-10-PALNTB-60.9	NA	NA
TARGET-10-PALTWS-60.1	NA	NA
TARGET-10-PALTWS-60.2	NA	NA
TARGET-10-PALTWS-60.3	NA	NA
TARGET-10-PALTWS-60.4	NA	NA
TARGET-10-PALTWS-60.5	NA	NA
TARGET-10-PAMDKS-60.10	NA	NA
TARGET-10-PAMDKS-60.1	NA	NA
TARGET-10-PAMDKS-60.2	NA	NA
TARGET-10-PAMDKS-60.3	NA	NA
TARGET-10-PAMDKS-60.4	NA	NA
TARGET-10-PAMDKS-60.5	NA	NA
TARGET-10-PAMDKS-60.6	NA	NA
TARGET-10-PAMDKS-60.7	NA	NA
TARGET-10-PAMDKS-60.8	NA	NA
TARGET-10-PAMDKS-60.9	NA	NA
TARGET-10-PAMDRM-60.11	NA	NA
TARGET-10-PAMDRM-60.12	NA	NA
TARGET-10-PAMDRM-60.13	NA	NA
TARGET-10-PAMDRM-60.14	NA	NA
TARGET-10-PAMDRM-60.15	NA	NA
TARGET-10-PAMDRM-60.16	NA	NA
TARGET-10-PAMDRM-60.17	NA	NA
TARGET-10-PAMDRM-60.18	NA	NA
TARGET-10-PAMDRM-60.1	NA	NA
TARGET-10-PAMDRM-60.2	NA	NA
TARGET-10-PAMDRM-60.3	NA	NA
TARGET-10-PAMDRM-60.4	NA	NA
TARGET-10-PAMDRM-60.5	NA	NA
TARGET-10-PAMDRM-60.7	NA	NA
TARGET-10-PAMDRM-60.8	NA	NA
TARGET-10-PAMDRM-60.9	NA	NA
TARGET-10-PAMDRM-60.6	NA	NA
TARGET-10-PAMKZB-60.11	NA	NA
TARGET-10-PAMKZB-60.14	NA	NA
TARGET-10-PAMKZB-60.6	NA	NA
TARGET-10-PAMKZB-60.8	NA	NA
TARGET-10-PAMKZB-60.1	NA	NA
TARGET-10-PAMKZB-60.2	NA	NA
TARGET-10-PANSFD-60.1	NA	NA
TARGET-10-PANSFD-60.2	NA	NA
TARGET-10-PANWJB-60.1	NA	NA
TARGET-10-PANWJB-60.2	NA	NA
TARGET-10-PANWJB-60.3	NA	NA
